,x,y,z,n,r,p,r,n+p
304,69.929,2.083,27.5,0.0135732,0.0974327,0.136672,0.0989293,0.1502452
304,69.929,2.083,32.5,0.0123967,0.0876257,0.144624,0.107443,0.1570207
304,69.929,2.083,37.5,0.0148148,0.0973553,0.144358,0.108358,0.1591728
304,69.929,2.083,42.5,0.0140396,0.0960681,0.131316,0.1202,0.1453556
304,69.929,2.083,47.5,0.0118247,0.070936,0.100604,0.118865,0.1124287
304,69.929,6.25,-47.5,0.0126632,0.103577,0.136539,0.109253,0.1492022
304,69.929,6.25,-42.5,0.0104263,0.0566581,0.102147,0.0998131,0.1125733
304,69.929,6.25,-37.5,0.0126824,0.0750258,0.134933,0.112531,0.1476154
304,69.929,6.25,-32.5,0.0137584,0.0984292,0.162751,0.0990164,0.1765094
304,69.929,6.25,-27.5,0.0138562,0.0964574,0.158931,0.0989579,0.1727872
304,69.929,6.25,-22.5,0.0130237,0.0732741,0.16857,0.0949916,0.1815937
304,69.929,6.25,-17.5,0.0151815,0.0887917,0.184458,0.0911261,0.1996395
304,69.929,6.25,-12.5,0.0169356,0.0966168,0.213111,0.0886963,0.2300466
304,69.929,6.25,-7.5,0.0162704,0.0804357,0.195011,0.0931734,0.2112814
304,69.929,6.25,-2.5,0.0161911,0.0755053,0.187799,0.092572,0.2039901
304,69.929,6.25,2.5,0.0159916,0.0857012,0.166007,0.0966002,0.1819986
304,69.929,6.25,7.5,0.0168667,0.0854787,0.18193,0.0945589,0.1987967
304,69.929,6.25,12.5,0.0189225,0.110589,0.1678,0.094265,0.1867225
304,69.929,6.25,17.5,0.0152828,0.0885093,0.174246,0.0935622,0.1895288
304,69.929,6.25,22.5,0.0151158,0.0866985,0.156349,0.0873697,0.1714648
304,69.929,6.25,27.5,0.0167764,0.102661,0.148631,0.0912647,0.1654074
304,69.929,6.25,32.5,0.0144497,0.0923643,0.169278,0.0948572,0.1837277
304,69.929,6.25,37.5,0.013128,0.0795175,0.159768,0.102433,0.172896
